card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
BET-000060,BETA,61,BreezeMechanical BETX,Viral,Wind,VOID CULT,5100,581,79,82,532,DIVINE.SQUALL.BIND,DIVINE.DRAFT.RUSH,DIVINE.SQUALL.DRAIN,DIVINE.SQUALL.BIND,DIVINE.SQUALL.SHIELD,DIVINE.ZEPHYR.DRAIN,DIVINE.DRAFT.STRIKE,DIVINE.ZEPHYR.BOOST,DIVINE.BREEZE.RUSH,[BETA] CSI=78,,NyxGen,wind
EPS-000061,EPSILON,62,EmberMechanical EPSX,Viral,Fire,GEAR SECT,2920,257,42,39,250,DIVINE.EMBER.BOOST,DIVINE.EMBER.WARD,DIVINE.PYRE.CHARGE,DIVINE.EMBER.STRIKE,DIVINE.EMBER.CATALYST,DIVINE.FLARE.STRIKE,DIVINE.EMBER.CATALYST,DIVINE.BLAZE.SHIELD,DIVINE.BLAZE.CATALYST,[EPSILON] CSI=53,,NyxGen,fire
IOT-000062,IOTA,63,LumenMechanical IOTX,Mechanical,Holy,GEAR SECT,730,40,10,12,57,DIVINE.SERA.SHIELD,DIVINE.HALO.BIND,DIVINE.SERA.DRAIN,DIVINE.SANCT.STRIKE,DIVINE.LUMEN.SHIELD,DIVINE.SERA.BIND,DIVINE.SERA.BIND,DIVINE.SANCT.DRAIN,DIVINE.HALO.CATALYST,[IOTA] CSI=24,,NyxGen,holy
EPS-000063,EPSILON,64,ThornMechanical EPSX,Angelic,Wood,INFECTION VECTOR,2246,215,28,32,146,DIVINE.THORN.CHARGE,DIVINE.BLOOM.BIND,DIVINE.BLOOM.WARD,DIVINE.BLOOM.RUSH,DIVINE.THORN.SHIELD,DIVINE.BLOOM.BOOST,DIVINE.ROOT.STRIKE,DIVINE.THORN.BOOST,DIVINE.BLOOM.CHARGE,[EPSILON] CSI=54,,NyxGen,wood
BET-000064,BETA,65,FlareMechanical BETX,Viral,Fire,PROTOCOL DIVISION,7182,501,77,87,471,DIVINE.PYRE.STRIKE,DIVINE.FLARE.RUSH,DIVINE.BLAZE.BOOST,DIVINE.CINDER.RUSH,DIVINE.FLARE.RUSH,DIVINE.PYRE.RUSH,DIVINE.BLAZE.WARD,DIVINE.FLARE.STRIKE,DIVINE.PYRE.SHIELD,[BETA] CSI=86,,NyxGen,fire
THE-000065,THETA,66,SeraMechanical THEX,Angelic,Holy,LUMINA SECT,778,82,17,18,66,DIVINE.LUMEN.CATALYST,DIVINE.HALO.STRIKE,DIVINE.RADIANCE.BOOST,DIVINE.LUMEN.SHIELD,DIVINE.SANCT.CATALYST,DIVINE.LUMEN.DRAIN,DIVINE.RADIANCE.STRIKE,DIVINE.LUMEN.RUSH,DIVINE.HALO.CATALYST,[THETA] CSI=34,,NyxGen,holy
ZET-000066,ZETA,67,BloomMechanical ZETX,Angelic,Wood,PROTOCOL DIVISION,2117,147,25,26,189,DIVINE.BLOOM.BIND,DIVINE.VINE.WARD,DIVINE.VINE.DRAIN,DIVINE.VINE.WARD,DIVINE.VINE.STRIKE,DIVINE.BARK.CHARGE,DIVINE.VINE.CATALYST,DIVINE.ROOT.CATALYST,DIVINE.VINE.BOOST,[ZETA] CSI=47,,NyxGen,wood
EPS-000067,EPSILON,68,BlazeMechanical EPSX,Mechanical,Fire,SYNTHETIC NETWORK,2061,188,29,41,211,DIVINE.BLAZE.STRIKE,DIVINE.CINDER.CHARGE,DIVINE.BLAZE.CHARGE,DIVINE.BLAZE.BIND,DIVINE.FLARE.RUSH,DIVINE.BLAZE.WARD,DIVINE.CINDER.BIND,DIVINE.FLARE.CHARGE,DIVINE.BLAZE.BIND,[EPSILON] CSI=50,,NyxGen,fire
THE-000068,THETA,69,AbyssMechanical THEX,Demonic,Void,SYNTHETIC NETWORK,1084,67,21,24,54,DIVINE.ABYSS.SHIELD,DIVINE.ABYSS.CATALYST,DIVINE.RIFT.CATALYST,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.WARD,DIVINE.UMBRAL.CHARGE,DIVINE.ECLIPSE.STRIKE,DIVINE.NULL.SHIELD,DIVINE.UMBRAL.CHARGE,[THETA] CSI=37,,NyxGen,void
OME-000069,OMEGA,70,PyreMechanical OMEX,Demonic,Fire,IRON CORTEX,10520,789,119,130,613,DIVINE.PYRE.RUSH,DIVINE.CINDER.RUSH,DIVINE.PYRE.STRIKE,DIVINE.BLAZE.CHARGE,DIVINE.CINDER.DRAIN,DIVINE.CINDER.CATALYST,DIVINE.BLAZE.WARD,DIVINE.PYRE.SHIELD,DIVINE.CINDER.STRIKE,[OMEGA] CSI=88,,NyxGen,fire
OMI-000070,OMICRON,71,EclipseMechanical OMIX,Mechanical,Void,ASTRUM DIVISION,83,10,4,3,5,DIVINE.ABYSS.BOOST,DIVINE.NULL.RUSH,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.BOOST,DIVINE.NULL.STRIKE,DIVINE.UMBRAL.STRIKE,DIVINE.NULL.STRIKE,DIVINE.ABYSS.RUSH,DIVINE.RIFT.WARD,[OMICRON] CSI=8,,NyxGen,void
GAM-000071,GAMMA,72,GaleMechanical GAMX,Viral,Wind,GEAR SECT,5538,488,64,57,437,DIVINE.SQUALL.WARD,DIVINE.GALE.DRAIN,DIVINE.ZEPHYR.CATALYST,DIVINE.BREEZE.STRIKE,DIVINE.SQUALL.DRAIN,DIVINE.ZEPHYR.STRIKE,DIVINE.BREEZE.CHARGE,DIVINE.DRAFT.SHIELD,DIVINE.GALE.RUSH,[GAMMA] CSI=69,,NyxGen,wind
IOT-000072,IOTA,73,LumenMechanical IOTX,Viral,Holy,LUMINA SECT,534,64,18,16,74,DIVINE.LUMEN.BOOST,DIVINE.LUMEN.BIND,DIVINE.SANCT.WARD,DIVINE.HALO.BOOST,DIVINE.LUMEN.BOOST,DIVINE.HALO.SHIELD,DIVINE.HALO.RUSH,DIVINE.HALO.BOOST,DIVINE.HALO.CATALYST,[IOTA] CSI=28,,NyxGen,holy
NU-000073,NU,74,RootMechanical NUX,Demonic,Wood,VOID CULT,155,16,7,6,9,DIVINE.BARK.WARD,DIVINE.BLOOM.CATALYST,DIVINE.VINE.DRAIN,DIVINE.ROOT.CHARGE,DIVINE.THORN.BOOST,DIVINE.THORN.SHIELD,DIVINE.VINE.DRAIN,DIVINE.THORN.BOOST,DIVINE.BARK.CHARGE,[NU] CSI=17,,NyxGen,wood
DEL-000074,DELTA,75,VoltMechanical DELX,Viral,Elec,VOID CULT,3027,272,46,55,230,DIVINE.BOLT.BOOST,DIVINE.SURGE.CHARGE,DIVINE.BOLT.DRAIN,DIVINE.ARC.WARD,DIVINE.BOLT.DRAIN,DIVINE.SPARK.CATALYST,DIVINE.BOLT.CATALYST,DIVINE.VOLT.CHARGE,DIVINE.BOLT.STRIKE,[DELTA] CSI=65,,NyxGen,elec
ETA-000075,ETA,76,UmbralMechanical ETAX,Mechanical,Void,INFECTION VECTOR,1537,118,19,32,94,DIVINE.NULL.WARD,DIVINE.ECLIPSE.WARD,DIVINE.ECLIPSE.CATALYST,DIVINE.UMBRAL.STRIKE,DIVINE.ECLIPSE.SHIELD,DIVINE.ECLIPSE.RUSH,DIVINE.RIFT.SHIELD,DIVINE.NULL.SHIELD,DIVINE.ABYSS.DRAIN,[ETA] CSI=38,,NyxGen,void
MU-000076,MU,77,RootMechanical MUX,Demonic,Wood,CORRUPTED SECTOR,196,28,5,6,12,DIVINE.BLOOM.CHARGE,DIVINE.BARK.WARD,DIVINE.ROOT.BOOST,DIVINE.BARK.CHARGE,DIVINE.BARK.BOOST,DIVINE.BARK.DRAIN,DIVINE.VINE.BOOST,DIVINE.BLOOM.RUSH,DIVINE.THORN.BOOST,[MU] CSI=17,,NyxGen,wood
KAP-000077,KAPPA,78,SparkMechanical KAPX,Viral,Elec,ABYSSAL CABAL,448,50,11,15,59,DIVINE.VOLT.BOOST,DIVINE.BOLT.DRAIN,DIVINE.VOLT.DRAIN,DIVINE.VOLT.BIND,DIVINE.VOLT.DRAIN,DIVINE.ARC.RUSH,DIVINE.SURGE.BIND,DIVINE.VOLT.STRIKE,DIVINE.ARC.CHARGE,[KAPPA] CSI=25,,NyxGen,elec
THE-000078,THETA,79,DraftMechanical THEX,Viral,Wind,ASTRUM DIVISION,1160,60,17,20,56,DIVINE.ZEPHYR.BIND,DIVINE.DRAFT.RUSH,DIVINE.GALE.DRAIN,DIVINE.DRAFT.DRAIN,DIVINE.GALE.CATALYST,DIVINE.DRAFT.SHIELD,DIVINE.DRAFT.WARD,DIVINE.DRAFT.WARD,DIVINE.GALE.BOOST,[THETA] CSI=36,,NyxGen,wind
NU-000079,NU,80,RippleMechanical NUX,Demonic,Aqua,GEAR SECT,214,14,5,6,23,DIVINE.RIPPLE.BIND,DIVINE.SURGE.BIND,DIVINE.RIPPLE.CHARGE,DIVINE.MIST.STRIKE,DIVINE.SURGE.BOOST,DIVINE.SURGE.RUSH,DIVINE.SURGE.CATALYST,DIVINE.SURGE.WARD,DIVINE.TIDE.WARD,[NU] CSI=6,,NyxGen,aqua
ZET-000080,ZETA,81,BloomMechanical ZETX,Mechanical,Wood,HALO CORE,1958,136,34,36,178,DIVINE.VINE.STRIKE,DIVINE.VINE.BIND,DIVINE.THORN.RUSH,DIVINE.BARK.WARD,DIVINE.BARK.DRAIN,DIVINE.BARK.BIND,DIVINE.BLOOM.SHIELD,DIVINE.VINE.BOOST,DIVINE.THORN.CHARGE,[ZETA] CSI=49,,NyxGen,wood
OME-000081,OMEGA,82,SquallMechanical OMEX,Angelic,Wind,IRON CORTEX,8691,813,94,109,911,DIVINE.BREEZE.CHARGE,DIVINE.ZEPHYR.WARD,DIVINE.ZEPHYR.STRIKE,DIVINE.ZEPHYR.STRIKE,DIVINE.DRAFT.CHARGE,DIVINE.ZEPHYR.STRIKE,DIVINE.GALE.RUSH,DIVINE.BREEZE.RUSH,DIVINE.DRAFT.WARD,[OMEGA] CSI=89,,NyxGen,wind
ZET-000082,ZETA,83,ArcMechanical ZETX,Angelic,Elec,PHAGE CELL,1669,119,35,28,167,DIVINE.BOLT.WARD,DIVINE.BOLT.BOOST,DIVINE.ARC.CHARGE,DIVINE.ARC.WARD,DIVINE.SPARK.CHARGE,DIVINE.SPARK.BOOST,DIVINE.BOLT.STRIKE,DIVINE.BOLT.CHARGE,DIVINE.VOLT.STRIKE,[ZETA] CSI=49,,NyxGen,elec
ZET-000083,ZETA,84,BarkMechanical ZETX,Viral,Wood,HALO CORE,2306,200,22,40,132,DIVINE.VINE.CHARGE,DIVINE.BLOOM.CHARGE,DIVINE.VINE.CHARGE,DIVINE.ROOT.CATALYST,DIVINE.BLOOM.SHIELD,DIVINE.BLOOM.WARD,DIVINE.BARK.DRAIN,DIVINE.BLOOM.DRAIN,DIVINE.BLOOM.BIND,[ZETA] CSI=53,,NyxGen,wood
DEL-000084,DELTA,85,BlazeMechanical DELX,Demonic,Fire,VOID CULT,3578,248,36,45,198,DIVINE.BLAZE.STRIKE,DIVINE.CINDER.RUSH,DIVINE.FLARE.RUSH,DIVINE.CINDER.BIND,DIVINE.BLAZE.CHARGE,DIVINE.CINDER.CHARGE,DIVINE.FLARE.RUSH,DIVINE.CINDER.RUSH,DIVINE.BLAZE.DRAIN,[DELTA] CSI=66,,NyxGen,fire
IOT-000085,IOTA,86,DraftMechanical IOTX,Demonic,Wind,HALO CORE,798,40,17,12,43,DIVINE.BREEZE.SHIELD,DIVINE.DRAFT.STRIKE,DIVINE.GALE.STRIKE,DIVINE.BREEZE.BIND,DIVINE.GALE.SHIELD,DIVINE.ZEPHYR.CHARGE,DIVINE.ZEPHYR.STRIKE,DIVINE.GALE.CATALYST,DIVINE.DRAFT.CHARGE,[IOTA] CSI=35,,NyxGen,wind
THE-000086,THETA,87,DraftMechanical THEX,Demonic,Wind,HALO CORE,940,89,18,25,57,DIVINE.SQUALL.RUSH,DIVINE.SQUALL.DRAIN,DIVINE.ZEPHYR.DRAIN,DIVINE.GALE.CATALYST,DIVINE.GALE.BIND,DIVINE.ZEPHYR.BIND,DIVINE.SQUALL.RUSH,DIVINE.DRAFT.CHARGE,DIVINE.SQUALL.CATALYST,[THETA] CSI=31,,NyxGen,wind
NU-000087,NU,88,ThornMechanical NUX,Angelic,Wood,PROTOCOL DIVISION,139,19,7,8,8,DIVINE.ROOT.SHIELD,DIVINE.BARK.CHARGE,DIVINE.BLOOM.BOOST,DIVINE.BARK.SHIELD,DIVINE.BLOOM.BOOST,DIVINE.VINE.WARD,DIVINE.VINE.RUSH,DIVINE.VINE.WARD,DIVINE.ROOT.WARD,[NU] CSI=17,,NyxGen,wood
XI-000088,XI,89,RiftMechanical XIX,Viral,Void,ABYSSAL CABAL,86,11,6,6,17,DIVINE.NULL.CATALYST,DIVINE.UMBRAL.SHIELD,DIVINE.NULL.CHARGE,DIVINE.ECLIPSE.CATALYST,DIVINE.RIFT.RUSH,DIVINE.ECLIPSE.CATALYST,DIVINE.NULL.BOOST,DIVINE.RIFT.BOOST,DIVINE.ECLIPSE.WARD,[XI] CSI=14,,NyxGen,void
ZET-000089,ZETA,90,SquallMechanical ZETX,Viral,Wind,VOID CULT,1677,185,22,39,126,DIVINE.SQUALL.CHARGE,DIVINE.ZEPHYR.CATALYST,DIVINE.SQUALL.WARD,DIVINE.ZEPHYR.CATALYST,DIVINE.ZEPHYR.CHARGE,DIVINE.BREEZE.CATALYST,DIVINE.BREEZE.CHARGE,DIVINE.GALE.CHARGE,DIVINE.SQUALL.WARD,[ZETA] CSI=47,,NyxGen,wind
EPS-000090,EPSILON,91,DraftMechanical EPSX,Demonic,Wind,HALO CORE,2701,171,41,33,239,DIVINE.DRAFT.SHIELD,DIVINE.GALE.CATALYST,DIVINE.SQUALL.BOOST,DIVINE.GALE.CHARGE,DIVINE.ZEPHYR.BOOST,DIVINE.SQUALL.WARD,DIVINE.GALE.CATALYST,DIVINE.GALE.BOOST,DIVINE.BREEZE.SHIELD,[EPSILON] CSI=52,,NyxGen,wind
KAP-000091,KAPPA,92,BloomMechanical KAPX,Demonic,Wood,ABYSSAL CABAL,601,45,12,15,25,DIVINE.BLOOM.SHIELD,DIVINE.BLOOM.SHIELD,DIVINE.THORN.RUSH,DIVINE.THORN.CATALYST,DIVINE.THORN.BIND,DIVINE.BLOOM.STRIKE,DIVINE.VINE.SHIELD,DIVINE.THORN.BIND,DIVINE.BARK.CATALYST,[KAPPA] CSI=27,,NyxGen,wood
OMI-000092,OMICRON,93,SanctMechanical OMIX,Viral,Holy,GEAR SECT,71,5,3,5,10,DIVINE.SERA.STRIKE,DIVINE.HALO.CATALYST,DIVINE.SANCT.BIND,DIVINE.SERA.BOOST,DIVINE.SERA.BOOST,DIVINE.RADIANCE.CATALYST,DIVINE.HALO.STRIKE,DIVINE.HALO.RUSH,DIVINE.RADIANCE.RUSH,[OMICRON] CSI=6,,NyxGen,holy
NU-000093,NU,94,NullMechanical NUX,Demonic,Void,PHAGE CELL,247,15,4,8,8,DIVINE.ECLIPSE.STRIKE,DIVINE.ECLIPSE.BOOST,DIVINE.ABYSS.CATALYST,DIVINE.NULL.SHIELD,DIVINE.ABYSS.CATALYST,DIVINE.ABYSS.WARD,DIVINE.ABYSS.CHARGE,DIVINE.ABYSS.CHARGE,DIVINE.ABYSS.STRIKE,[NU] CSI=11,,NyxGen,void
GAM-000094,GAMMA,95,SeraMechanical GAMX,Angelic,Holy,HALO CORE,5182,379,52,67,316,DIVINE.SANCT.STRIKE,DIVINE.LUMEN.RUSH,DIVINE.HALO.STRIKE,DIVINE.HALO.STRIKE,DIVINE.SANCT.BIND,DIVINE.RADIANCE.STRIKE,DIVINE.SERA.WARD,DIVINE.HALO.SHIELD,DIVINE.RADIANCE.BIND,[GAMMA] CSI=66,,NyxGen,holy
ALP-000095,ALPHA,96,VineMechanical ALPX,Demonic,Wood,INFECTION VECTOR,7948,736,87,75,714,DIVINE.ROOT.BOOST,DIVINE.BARK.DRAIN,DIVINE.THORN.RUSH,DIVINE.VINE.DRAIN,DIVINE.THORN.RUSH,DIVINE.BLOOM.SHIELD,DIVINE.ROOT.CATALYST,DIVINE.BARK.SHIELD,DIVINE.BARK.CHARGE,[ALPHA] CSI=86,,NyxGen,wood
BET-000096,BETA,97,RadianceMechanical BETX,Mechanical,Holy,ASTRUM DIVISION,5838,627,61,67,507,DIVINE.HALO.BOOST,DIVINE.LUMEN.DRAIN,DIVINE.LUMEN.BOOST,DIVINE.LUMEN.SHIELD,DIVINE.HALO.WARD,DIVINE.LUMEN.RUSH,DIVINE.SANCT.BOOST,DIVINE.RADIANCE.WARD,DIVINE.RADIANCE.CATALYST,[BETA] CSI=79,,NyxGen,holy
ZET-000097,ZETA,98,GaleMechanical ZETX,Angelic,Wind,HALO CORE,1542,192,22,36,183,DIVINE.GALE.STRIKE,DIVINE.ZEPHYR.RUSH,DIVINE.ZEPHYR.RUSH,DIVINE.GALE.BOOST,DIVINE.ZEPHYR.STRIKE,DIVINE.GALE.SHIELD,DIVINE.GALE.SHIELD,DIVINE.BREEZE.CATALYST,DIVINE.GALE.WARD,[ZETA] CSI=45,,NyxGen,wind
NU-000098,NU,99,PyreMechanical NUX,Angelic,Fire,HALO CORE,240,12,5,5,11,DIVINE.FLARE.BIND,DIVINE.CINDER.RUSH,DIVINE.CINDER.RUSH,DIVINE.CINDER.DRAIN,DIVINE.CINDER.CHARGE,DIVINE.CINDER.RUSH,DIVINE.BLAZE.BOOST,DIVINE.FLARE.BIND,DIVINE.BLAZE.SHIELD,[NU] CSI=10,,NyxGen,fire
ALP-000099,ALPHA,100,RootMechanical ALPX,Mechanical,Wood,LUMINA SECT,8896,791,73,101,475,DIVINE.VINE.DRAIN,DIVINE.BARK.CHARGE,DIVINE.VINE.SHIELD,DIVINE.THORN.CATALYST,DIVINE.VINE.RUSH,DIVINE.VINE.CHARGE,DIVINE.BARK.RUSH,DIVINE.VINE.BIND,DIVINE.ROOT.DRAIN,[ALPHA] CSI=91,,NyxGen,wood
KAP-000100,KAPPA,101,RadianceMechanical KAPX,Mechanical,Holy,LUMINA SECT,357,37,10,11,53,DIVINE.HALO.STRIKE,DIVINE.LUMEN.WARD,DIVINE.RADIANCE.STRIKE,DIVINE.SANCT.WARD,DIVINE.SANCT.WARD,DIVINE.SANCT.SHIELD,DIVINE.HALO.STRIKE,DIVINE.LUMEN.SHIELD,DIVINE.SERA.RUSH,[KAPPA] CSI=20,,NyxGen,holy
LAM-000101,LAMBDA,102,SurgeMechanical LAMX,Viral,Aqua,VOID CULT,481,35,6,10,45,DIVINE.SURGE.WARD,DIVINE.RIPPLE.WARD,DIVINE.TORRENT.WARD,DIVINE.SURGE.SHIELD,DIVINE.TORRENT.SHIELD,DIVINE.TORRENT.CATALYST,DIVINE.TIDE.WARD,DIVINE.SURGE.WARD,DIVINE.RIPPLE.STRIKE,[LAMBDA] CSI=18,,NyxGen,aqua
OMI-000102,OMICRON,103,MistMechanical OMIX,Viral,Aqua,PHAGE CELL,57,9,2,3,8,DIVINE.TORRENT.RUSH,DIVINE.TIDE.RUSH,DIVINE.RIPPLE.BOOST,DIVINE.SURGE.WARD,DIVINE.SURGE.SHIELD,DIVINE.MIST.SHIELD,DIVINE.SURGE.BIND,DIVINE.MIST.CATALYST,DIVINE.MIST.BOOST,[OMICRON] CSI=7,,NyxGen,aqua
ETA-000103,ETA,104,HaloMechanical ETAX,Mechanical,Holy,VOID CULT,1380,80,18,28,123,DIVINE.HALO.BOOST,DIVINE.LUMEN.STRIKE,DIVINE.SERA.BIND,DIVINE.HALO.WARD,DIVINE.SERA.CHARGE,DIVINE.LUMEN.CATALYST,DIVINE.SERA.CATALYST,DIVINE.HALO.BIND,DIVINE.SANCT.CHARGE,[ETA] CSI=38,,NyxGen,holy
IOT-000104,IOTA,105,AbyssMechanical IOTX,Viral,Void,PHAGE CELL,734,50,14,14,53,DIVINE.NULL.BIND,DIVINE.ABYSS.SHIELD,DIVINE.ECLIPSE.CATALYST,DIVINE.ABYSS.BOOST,DIVINE.ABYSS.STRIKE,DIVINE.NULL.DRAIN,DIVINE.RIFT.STRIKE,DIVINE.NULL.CATALYST,DIVINE.ECLIPSE.STRIKE,[IOTA] CSI=36,,NyxGen,void
OMI-000105,OMICRON,106,RippleMechanical OMIX,Angelic,Aqua,ABYSSAL CABAL,113,10,3,5,5,DIVINE.TORRENT.STRIKE,DIVINE.TIDE.BOOST,DIVINE.TIDE.CATALYST,DIVINE.TORRENT.CATALYST,DIVINE.TIDE.BOOST,DIVINE.RIPPLE.DRAIN,DIVINE.TORRENT.RUSH,DIVINE.MIST.RUSH,DIVINE.MIST.STRIKE,[OMICRON] CSI=8,,NyxGen,aqua
EPS-000106,EPSILON,107,TorrentMechanical EPSX,Mechanical,Aqua,SYNTHETIC NETWORK,3121,179,36,38,197,DIVINE.MIST.CATALYST,DIVINE.MIST.CHARGE,DIVINE.TIDE.SHIELD,DIVINE.SURGE.BOOST,DIVINE.TIDE.CATALYST,DIVINE.MIST.CHARGE,DIVINE.RIPPLE.SHIELD,DIVINE.SURGE.RUSH,DIVINE.SURGE.WARD,[EPSILON] CSI=59,,NyxGen,aqua
OMI-000107,OMICRON,108,RootMechanical OMIX,Angelic,Wood,IRON CORTEX,108,9,4,5,5,DIVINE.ROOT.CHARGE,DIVINE.ROOT.CHARGE,DIVINE.VINE.BOOST,DIVINE.ROOT.BOOST,DIVINE.THORN.SHIELD,DIVINE.BARK.CATALYST,DIVINE.BARK.CATALYST,DIVINE.VINE.CATALYST,DIVINE.ROOT.DRAIN,[OMICRON] CSI=0,,NyxGen,wood
KAP-000108,KAPPA,109,SparkMechanical KAPX,Demonic,Elec,INFECTION VECTOR,521,40,10,16,36,DIVINE.ARC.STRIKE,DIVINE.BOLT.STRIKE,DIVINE.SPARK.WARD,DIVINE.SURGE.BOOST,DIVINE.ARC.STRIKE,DIVINE.SURGE.BOOST,DIVINE.ARC.DRAIN,DIVINE.BOLT.DRAIN,DIVINE.ARC.DRAIN,[KAPPA] CSI=22,,NyxGen,elec
NU-000109,NU,110,RiftMechanical NUX,Demonic,Void,HALO CORE,195,11,6,5,18,DIVINE.RIFT.SHIELD,DIVINE.ECLIPSE.DRAIN,DIVINE.ECLIPSE.BIND,DIVINE.UMBRAL.BOOST,DIVINE.NULL.SHIELD,DIVINE.NULL.BOOST,DIVINE.NULL.BIND,DIVINE.RIFT.RUSH,DIVINE.ECLIPSE.DRAIN,[NU] CSI=11,,NyxGen,void
NU-000110,NU,111,AbyssMechanical NUX,Angelic,Void,GEAR SECT,247,13,7,8,10,DIVINE.ECLIPSE.RUSH,DIVINE.NULL.CATALYST,DIVINE.ECLIPSE.BIND,DIVINE.NULL.BOOST,DIVINE.NULL.RUSH,DIVINE.UMBRAL.WARD,DIVINE.ECLIPSE.BIND,DIVINE.ECLIPSE.WARD,DIVINE.ABYSS.STRIKE,[NU] CSI=12,,NyxGen,void
ZET-000111,ZETA,112,BloomMechanical ZETX,Viral,Wood,ABYSSAL CABAL,1808,195,28,26,153,DIVINE.ROOT.RUSH,DIVINE.THORN.CHARGE,DIVINE.THORN.CATALYST,DIVINE.THORN.STRIKE,DIVINE.BARK.CATALYST,DIVINE.ROOT.RUSH,DIVINE.BARK.STRIKE,DIVINE.VINE.BIND,DIVINE.THORN.CHARGE,[ZETA] CSI=50,,NyxGen,wood
NU-000112,NU,113,VoltMechanical NUX,Angelic,Elec,ROT CLUSTER,221,20,7,5,19,DIVINE.ARC.SHIELD,DIVINE.SPARK.WARD,DIVINE.BOLT.CATALYST,DIVINE.ARC.BIND,DIVINE.ARC.BIND,DIVINE.SURGE.CHARGE,DIVINE.ARC.WARD,DIVINE.VOLT.BOOST,DIVINE.BOLT.BOOST,[NU] CSI=8,,NyxGen,elec
LAM-000113,LAMBDA,114,ArcMechanical LAMX,Demonic,Elec,SYNTHETIC NETWORK,374,33,11,10,31,DIVINE.VOLT.BIND,DIVINE.ARC.WARD,DIVINE.BOLT.RUSH,DIVINE.SURGE.CATALYST,DIVINE.ARC.WARD,DIVINE.ARC.CHARGE,DIVINE.SPARK.RUSH,DIVINE.SURGE.STRIKE,DIVINE.ARC.STRIKE,[LAMBDA] CSI=22,,NyxGen,elec
OMI-000114,OMICRON,115,RiftMechanical OMIX,Angelic,Void,LUMINA SECT,51,9,2,5,9,DIVINE.NULL.SHIELD,DIVINE.ECLIPSE.DRAIN,DIVINE.NULL.BIND,DIVINE.RIFT.CATALYST,DIVINE.UMBRAL.RUSH,DIVINE.UMBRAL.CHARGE,DIVINE.ECLIPSE.SHIELD,DIVINE.UMBRAL.RUSH,DIVINE.NULL.CATALYST,[OMICRON] CSI=6,,NyxGen,void
IOT-000115,IOTA,116,SanctMechanical IOTX,Angelic,Holy,GEAR SECT,861,52,12,20,62,DIVINE.LUMEN.BOOST,DIVINE.RADIANCE.RUSH,DIVINE.LUMEN.SHIELD,DIVINE.SERA.BOOST,DIVINE.RADIANCE.CATALYST,DIVINE.HALO.BOOST,DIVINE.SERA.CHARGE,DIVINE.LUMEN.BOOST,DIVINE.SANCT.CHARGE,[IOTA] CSI=36,,NyxGen,holy
ZET-000116,ZETA,117,SparkMechanical ZETX,Demonic,Elec,VOID CULT,1497,186,28,39,184,DIVINE.SPARK.BOOST,DIVINE.SPARK.STRIKE,DIVINE.BOLT.STRIKE,DIVINE.SPARK.RUSH,DIVINE.BOLT.SHIELD,DIVINE.SPARK.BOOST,DIVINE.SPARK.BOOST,DIVINE.BOLT.BIND,DIVINE.SPARK.RUSH,[ZETA] CSI=50,,NyxGen,elec
THE-000117,THETA,118,LumenMechanical THEX,Viral,Holy,GEAR SECT,854,63,21,19,94,DIVINE.HALO.CHARGE,DIVINE.RADIANCE.WARD,DIVINE.SERA.STRIKE,DIVINE.HALO.SHIELD,DIVINE.SERA.STRIKE,DIVINE.RADIANCE.WARD,DIVINE.RADIANCE.WARD,DIVINE.RADIANCE.STRIKE,DIVINE.HALO.BOOST,[THETA] CSI=41,,NyxGen,holy
KAP-000118,KAPPA,119,BlazeMechanical KAPX,Angelic,Fire,INFECTION VECTOR,407,38,11,14,57,DIVINE.PYRE.CATALYST,DIVINE.FLARE.STRIKE,DIVINE.PYRE.STRIKE,DIVINE.CINDER.DRAIN,DIVINE.EMBER.STRIKE,DIVINE.CINDER.DRAIN,DIVINE.CINDER.CATALYST,DIVINE.PYRE.BOOST,DIVINE.BLAZE.CHARGE,[KAPPA] CSI=21,,NyxGen,fire
ALP-000119,ALPHA,120,HaloMechanical ALPX,Angelic,Holy,ASTRUM DIVISION,7705,770,74,79,711,DIVINE.HALO.RUSH,DIVINE.SANCT.CATALYST,DIVINE.LUMEN.STRIKE,DIVINE.LUMEN.CHARGE,DIVINE.SANCT.DRAIN,DIVINE.SANCT.CATALYST,DIVINE.RADIANCE.BIND,DIVINE.LUMEN.RUSH,DIVINE.SANCT.WARD,[ALPHA] CSI=90,,NyxGen,holy
ZET-000120,ZETA,121,TorrentMechanical ZETX,Mechanical,Aqua,GEAR SECT,2008,189,24,29,103,DIVINE.TIDE.CATALYST,DIVINE.TIDE.CATALYST,DIVINE.MIST.WARD,DIVINE.MIST.RUSH,DIVINE.MIST.BOOST,DIVINE.SURGE.WARD,DIVINE.RIPPLE.BOOST,DIVINE.RIPPLE.CATALYST,DIVINE.TIDE.BOOST,[ZETA] CSI=47,,NyxGen,aqua
